,Accident Date,Injury.Severity,Number.of.Engines
0,1948-10-24,Fatal(2),1.0
1,1962-07-19,Fatal(4),1.0
2,1974-08-30,Fatal(3),1.0
3,1977-06-19,Fatal(2),1.0
5,1979-09-17,Non-Fatal,2.0
6,1981-08-01,Fatal(4),1.0
7,1982-01-01,Non-Fatal,1.0
8,1982-01-01,Non-Fatal,2.0
9,1982-01-01,Non-Fatal,1.0
10,1982-01-01,Non-Fatal,1.0
11,1982-01-01,Non-Fatal,1.0
12,1982-01-02,Non-Fatal,1.0
13,1982-01-02,Fatal(1),1.0
14,1982-01-02,Fatal(1),1.0
15,1982-01-02,Fatal(2),1.0
16,1982-01-02,Non-Fatal,1.0
17,1982-01-02,Fatal(3),1.0
18,1982-01-02,Non-Fatal,1.0
19,1982-01-02,Non-Fatal,1.0
20,1982-01-02,Non-Fatal,1.0
21,1982-01-02,Non-Fatal,1.0
22,1982-01-02,Non-Fatal,1.0
23,1982-01-03,Incident,1.0
24,1982-01-03,Fatal(2),1.0
25,1982-01-03,Fatal(8),2.0
26,1982-01-03,Fatal(1),2.0
27,1982-01-03,Non-Fatal,1.0
28,1982-01-03,Non-Fatal,1.0
29,1982-01-03,Non-Fatal,1.0
30,1982-01-03,Non-Fatal,1.0
31,1982-01-03,Non-Fatal,1.0
32,1982-01-04,Fatal(4),1.0
33,1982-01-04,Fatal(2),2.0
34,1982-01-04,Fatal(2),2.0
35,1982-01-04,Non-Fatal,1.0
36,1982-01-04,Fatal(1),1.0
37,1982-01-05,Fatal(3),1.0
38,1982-01-05,Fatal(1),1.0
39,1982-01-05,Fatal(2),2.0
40,1982-01-05,Incident,1.0
41,1982-01-05,Non-Fatal,1.0
42,1982-01-05,Non-Fatal,1.0
43,1982-01-05,Non-Fatal,1.0
44,1982-01-05,Non-Fatal,1.0
45,1982-01-06,Non-Fatal,2.0
46,1982-01-06,Non-Fatal,1.0
47,1982-01-06,Non-Fatal,1.0
48,1982-01-06,Non-Fatal,1.0
49,1982-01-06,Non-Fatal,1.0
50,1982-01-06,Non-Fatal,1.0
51,1982-01-07,Fatal(2),1.0
52,1982-01-07,Non-Fatal,1.0
53,1982-01-07,Non-Fatal,2.0
54,1982-01-08,Fatal(1),1.0
55,1982-01-08,Fatal(1),1.0
56,1982-01-08,Non-Fatal,1.0
57,1982-01-08,Non-Fatal,1.0
58,1982-01-08,Non-Fatal,1.0
59,1982-01-08,Non-Fatal,1.0
60,1982-01-08,Non-Fatal,1.0
61,1982-01-08,Non-Fatal,1.0
62,1982-01-09,Non-Fatal,0.0
63,1982-01-09,Non-Fatal,1.0
64,1982-01-09,Non-Fatal,1.0
65,1982-01-09,Non-Fatal,2.0
66,1982-01-09,Non-Fatal,1.0
67,1982-01-09,Non-Fatal,1.0
68,1982-01-10,Non-Fatal,2.0
69,1982-01-10,Non-Fatal,1.0
70,1982-01-10,Non-Fatal,2.0
71,1982-01-10,Fatal(1),1.0
72,1982-01-10,Non-Fatal,1.0
73,1982-01-10,Non-Fatal,1.0
74,1982-01-10,Non-Fatal,1.0
75,1982-01-11,Non-Fatal,1.0
76,1982-01-11,Fatal(4),1.0
77,1982-01-11,Non-Fatal,1.0
78,1982-01-11,Non-Fatal,2.0
79,1982-01-12,Incident,3.0
80,1982-01-12,Incident,2.0
81,1982-01-12,Non-Fatal,2.0
82,1982-01-12,Non-Fatal,1.0
83,1982-01-13,Non-Fatal,1.0
84,1982-01-13,Fatal(78),2.0
